,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,a,b,c,d,e,f,g,words
0,0,0,0,0,I,,\,/,Fire,https://book-of-thoth.net/Ace-of-Wands,https://en.wikipedia.org/wiki/Ace_of_Wands_(Tarot_card),accord adventure affirmed agendas akin allegory alluding ambiguity answering anthony archetypes aroused aspirations aspire avidity backed balancing beliefs bibliographical biographical brightest buber burst certainly challenge challenges clarity closely colleagues committed compendium comprehensive confident connotations consists copies curriculum day definitely delaying demonology diamonds dictate discover discuss dragon drawing edition education embodies encyclopedia entering enterprises entrepreneurship establishes evaluation excitement exhilaration expand expansive faithful famous flame flow flowering formulated gifts goals heading hearts heat herald hercules imbued indexes indication inflexible inna innate insisted inspirational introduction inventor islamic itai ivtzan leaping lefthand leslie lessons metaphysics moses motion mountains newly notes occultism occultist octave ones oneself organizing papus parapsychology passionate places powers primordial progress psyche psychic raising reassess rebuked review rivers rock rod sciences selves semetsky shepard sigils sought spades special starting succeed surge surround theories transforming unbending undergo underlying undertaking unseen ventures versions versus vigor virility volume wicked wrote yodh
1,1,1,1,1,II,,\,/,Dominion,https://book-of-thoth.net/Two-of-Wands-Dominion,https://en.wikipedia.org/wiki/Two_of_Wands,accomplishments address al ambitious assault basing behaviour biddytarot broadly charismatic clxxviii cols contains cooperate court crops delivered dorje ego egotistical endings energetic evoke explored eyed fertilize fierceness focuses fourteen fundamental gnomes impulsiveness initiating language liber meaningless metaphorical mirror ovum practitioners prince princess reaping refined rejoices relating repulsion resolution restless sagacious sensitive tick turbulent unassuaged unforgiving warm wide willing withal xlix youth
2,2,2,2,2,III,,\,/,Virtue,https://book-of-thoth.net/Three-of-Wands-Virtue,https://en.wikipedia.org/wiki/Three_of_Wands,blossom cessation commerce conceives enkindled facing identical mission onlooker prepares primeval rude sees spring thai traveling
3,3,3,3,3,I,V,\,/,Completion,https://book-of-thoth.net/Four-of-Wands-Completion,https://en.wikipedia.org/wiki/Four_of_Wands,amoun appearing assert bunches celebrants cloth conclusions decorative distant domestic doves establish faculty garlanding government graceful harvest haven hurriedness insincere jewish looks netting perfected poles reasoning reminiscent species summer tops unreadiness unsteady wedding
4,4,4,4,4,V,,\,/,Strife,https://book-of-thoth.net/Five-of-Wands-Strife,https://en.wikipedia.org/wiki/Five_of_Wands,allotted angels ashes banners benign bhavani brandishing centres claw coition daughters decante devotees dexter doctrines egyptians embitter fanatical ferox gentle hailed hath herent identify irrational kali limit meeting mitigating nubes pasht posse prodigality purely purgation resurrection saeva sakti schemhamphorash shiva sport strongest tameless thoroughly thumbs tooth unto volcanic weigh wished youths
5,5,5,5,5,V,I,\,/,Victory,https://book-of-thoth.net/Six-of-Wands-Victory,https://en.wikipedia.org/wiki/Six_of_Wands,adepts adorned ardour avoiding closed enclose footmen galvanize horseman lamps laurel laureled leadership mounted reception revolutionary shooting sociability stabilization steadily symbolically
6,6,6,6,6,V,II,\,/,Valour,https://book-of-thoth.net/Seven-of-Wands-Valour,https://en.wikipedia.org/wiki/Seven_of_Wands,army beaten braces brutal commonplace counteract decadence defender defending defensive degeneration departure diminished dint dispersed evidently exercised firm footing fortunately hill initial maintains passes perseveres pretence prodding regards relegated soldiers straddle strained stronger subordinates summoned systematic uneven unimportant unsatisfactory valour wrangling
7,7,7,7,7,V,III,\,/,Swiftness,https://book-of-thoth.net/Eight-of-Wands-Swiftness,https://en.wikipedia.org/wiki/Eight_of_Wands,angled conveys diagonal electrical electricity furnishes gardens intelligible landscape maxima meadows news noted oppressive pairs physics proceeding quickly rapacious rapid rapidity remaining robbery spectrum speed sports staggered subtilizing surmounting swiftly untrustworthy velocity vibrating warfare
8,8,8,8,8,I,X,\,/,Strength,https://book-of-thoth.net/Nine-of-Wands-Strength,https://en.wikipedia.org/wiki/Nine_of_Wands,aphorism apprehension arrow arrows curious delays directed disarray fail flaws herculean herefrom implying intractable joins obtained preceded prepared pursued questioning scientifically shaken standpoint stones tenfold tremendous unassailable weary
9,9,9,9,9,X,,\,/,Oppression,https://book-of-thoth.net/Ten-of-Wands-Oppression,https://en.wikipedia.org/wiki/Ten_of_Wands,bars burdening claws conflagrations detached devour disinterestedness elusive enormous evoked formidable illwill lengthened levity load luminous obligations obscure overbearing overburdened overload patents repression responsibility ridding seeing stupid swift wild
